index,video_id,title,video_url,thumbnail_file,thumbnail_url,content_type,duration,view_count
24,kEx0C6eXe6o,終於移居到了日本,https://www.youtube.com/watch?v=kEx0C6eXe6o,024_kEx0C6eXe6o.jpg,https://i.ytimg.com/vi/kEx0C6eXe6o/maxresdefault.jpg,image/jpeg,999.0,785070
25,wue0Q3Bwxik,去日本Vlog,https://www.youtube.com/watch?v=wue0Q3Bwxik,025_wue0Q3Bwxik.jpg,https://i.ytimg.com/vi/wue0Q3Bwxik/maxresdefault.jpg,image/jpeg,858.0,474408
26,P5w25AcZYHE,我去日本是一個糟糕的決定嗎？｜ 為什麼你不應該來比利時（問答）,https://www.youtube.com/watch?v=P5w25AcZYHE,026_P5w25AcZYHE.jpg,https://i.ytimg.com/vi/P5w25AcZYHE/maxresdefault.jpg,image/jpeg,715.0,445551
27,m5Rud636BwQ,顛覆認知！台灣人和中國大陸人竟然在「這點」上不一樣！,https://www.youtube.com/watch?v=m5Rud636BwQ,027_m5Rud636BwQ.jpg,https://i.ytimg.com/vi/m5Rud636BwQ/maxresdefault.jpg,image/jpeg,1821.0,1365019
28,cO2GVrBPlpo,[會員專享] 五個我不能離開的東西！,https://www.youtube.com/watch?v=cO2GVrBPlpo,028_cO2GVrBPlpo.jpg,https://i.ytimg.com/vi/cO2GVrBPlpo/maxresdefault.jpg,image/jpeg,558.0,
29,IKE5O5zMkqY,你經歷過最糟糕的約會體驗是什麽？,https://www.youtube.com/watch?v=IKE5O5zMkqY,029_IKE5O5zMkqY.jpg,https://i.ytimg.com/vi/IKE5O5zMkqY/maxresdefault.jpg,image/jpeg,1309.0,1001955
30,HqOVo0XaM6E,人生更新,https://www.youtube.com/watch?v=HqOVo0XaM6E,030_HqOVo0XaM6E.jpg,https://i.ytimg.com/vi/HqOVo0XaM6E/maxresdefault.jpg,image/jpeg,535.0,531759
31,jbqppkicwsg,我們更喜歡日本還是台灣？（兄弟問答）,https://www.youtube.com/watch?v=jbqppkicwsg,031_jbqppkicwsg.jpg,https://i.ytimg.com/vi/jbqppkicwsg/maxresdefault.jpg,image/jpeg,788.0,450330
32,RR7iHDyh9xs,Shorts正在摧毀YouTube，但我們都沒發現,https://www.youtube.com/watch?v=RR7iHDyh9xs,032_RR7iHDyh9xs.jpg,https://i.ytimg.com/vi/RR7iHDyh9xs/maxresdefault.jpg,image/jpeg,909.0,822398
33,HG4e205jLQ4,再見2023（深呼錫第四季 #025）,https://www.youtube.com/watch?v=HG4e205jLQ4,033_HG4e205jLQ4.jpg,https://i.ytimg.com/vi/HG4e205jLQ4/maxresdefault.jpg,image/jpeg,1562.0,
34,uiKUkbbGw_8,支持婚姻（深呼錫第四季 #024）,https://www.youtube.com/watch?v=uiKUkbbGw_8,034_uiKUkbbGw_8.jpg,https://i.ytimg.com/vi/uiKUkbbGw_8/maxresdefault.jpg,image/jpeg,1647.0,
35,zVIzJYutfIA,我會說日語了,https://www.youtube.com/watch?v=zVIzJYutfIA,035_zVIzJYutfIA.jpg,https://i.ytimg.com/vi/zVIzJYutfIA/maxresdefault.jpg,image/jpeg,957.0,948789
36,6iprPWT9IHA,平安夜（深呼錫第四季 #023）,https://www.youtube.com/watch?v=6iprPWT9IHA,036_6iprPWT9IHA.jpg,https://i.ytimg.com/vi/6iprPWT9IHA/sddefault.jpg,image/jpeg,1731.0,
37,va-haAB_DIM,東京生活（深呼錫第四季 #022）,https://www.youtube.com/watch?v=va-haAB_DIM,037_va-haAB_DIM.jpg,https://i.ytimg.com/vi/va-haAB_DIM/maxresdefault.jpg,image/jpeg,1583.0,
38,124t5HowsLs,台灣媒體又開始秀下限了！,https://www.youtube.com/watch?v=124t5HowsLs,038_124t5HowsLs.jpg,https://i.ytimg.com/vi/124t5HowsLs/maxresdefault.jpg,image/jpeg,783.0,948583
